id,name,year_established,country,description,url,image,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
binance,Binance,2017.0,Cayman Islands,,https://www.binance.com/,https://assets.coingecko.com/markets/images/52/small/binance.jpg?1519353250,False,10,1,229556.84473156254,119740.67291447926
gdax,Coinbase Exchange,2012.0,United States,,https://coinbase-consumer.sjv.io/coingecko,https://assets.coingecko.com/markets/images/23/small/Coinbase_Coin_Primary.png?1621471875,False,10,2,24588.93102189154,24588.93102189154
bybit_spot,Bybit,2018.0,British Virgin Islands,"Bybit is a cryptocurrency exchange that offers a professional platform featuring an ultra-fast matching engine, excellent customer service and multilingual community support for crypto traders of all levels. Established in March 2018, Bybit currently serves more than 10 million users and institutions offering access to over 100 assets and contracts across Spot, Futures and Options, launchpad projects, earn products, an NFT Marketplace and more. Bybit is a proud partner of Formula One racing team, Oracle Red Bull Racing, esports teams NAVI, Astralis, Alliance, Virtus.pro, Made in Brazil (MIBR), City Esports, and Oracle Red Bull Racing Esports, and association football (soccer) teams Borussia Dortmund and Avispa Fukuoka.",https://www.bybit.com,https://assets.coingecko.com/markets/images/698/small/bybit_spot.png?1629971794,False,10,3,20688.844634492772,20688.844634492772
huobi,Huobi,2013.0,Seychelles,,https://www.huobi.com,https://assets.coingecko.com/markets/images/25/small/logo_V_colour_black.png?1669177364,False,10,4,30444.727245410882,18030.5957832771
kraken,Kraken,2011.0,United States,,https://r.kraken.com/c/2223866/687155/10583,https://assets.coingecko.com/markets/images/29/small/kraken.jpg?1584251255,False,10,5,15678.945337708965,11947.894645814267
kucoin,KuCoin,2014.0,Seychelles,,https://www.kucoin.com/,https://assets.coingecko.com/markets/images/61/small/kucoin.png?1640584259,False,10,6,11825.378185570667,11825.378185570667
bitfinex,Bitfinex,2012.0,British Virgin Islands,,https://www.bitfinex.com,https://assets.coingecko.com/markets/images/4/small/BItfinex.png?1615895883,False,10,7,2127.5373824139806,1995.453646151961
binance_us,Binance US,2019.0,United States,,https://www.binance.us/,https://assets.coingecko.com/markets/images/469/small/Binance.png?1568875842,False,10,8,295.9071866724052,295.9071866724052
okex,OKX,2017.0,Seychelles,,https://www.okx.com,https://assets.coingecko.com/markets/images/96/small/WeChat_Image_20220117220452.png?1642428377,False,9,9,27813.606861985714,27813.606861985714
gate,Gate.io,,Cayman Islands,"Gate was established in 2013, and it is the top 10 exchanges in the world in terms of authentic trading volume. It is also the first choice of over 8 million registered customers, covering 130+ countries worldwide, as we are providing the most comprehensive digital asset solutions.",https://gate.io/,https://assets.coingecko.com/markets/images/60/small/gate_io_logo1.jpg?1654596784,False,9,10,14470.943551222617,14470.943551222617
