market_cap,price,dia,capitalizacion propia,cripto
1690243200000,0.5304392584994624,1,79708115,Arkham
1690329600000,0.5126789404117542,2,77039306,Arkham
1690416000000,0.5434085626782944,3,81656989,Arkham
1690502400000,0.5578700539035194,4,83830090,Arkham
1690588800000,0.5410702525187127,5,81305615,Arkham
1690675200000,0.52003656893238,6,78144923,Arkham
1690761600000,0.5051344836371036,7,75905614,Arkham
1690848000000,0.5084473297095987,8,76403429,Arkham
1690934400000,0.5060813811143154,9,76047903,Arkham
1691020800000,0.47080908420078277,10,70747601,Arkham
1691107200000,0.4598258188666481,11,69097166,Arkham
1691193600000,0.45557130662015366,12,68457848,Arkham
1691280000000,0.4238709861684454,13,63694300,Arkham
1691366400000,0.4429107688519278,14,66555373,Arkham
1691452800000,0.421356045685631,15,63316385,Arkham
1691539200000,0.42150235276540676,16,63338370,Arkham
1691625600000,0.4245790382184381,17,63800698,Arkham
1691712000000,0.41205277642935095,18,61918400,Arkham
1691798400000,0.4198331039548492,19,63087535,Arkham
1691884800000,0.4359838848700818,20,65514483,Arkham
1691971200000,0.42587711406097756,21,63995757,Arkham
1692057600000,0.4296686391952978,22,64565503,Arkham
1692144000000,0.36717461078734426,23,55174642,Arkham
1692230400000,0.3793711690078849,24,57007396,Arkham
1692316800000,0.37184619765931914,25,55876633,Arkham
1692403200000,0.40683567151438416,26,61134435,Arkham
1692489600000,0.4016611142092226,27,60356864,Arkham
1692576000000,0.40407690381534145,28,60719881,Arkham
1692662400000,0.41155111709786385,29,61843017,Arkham
1692738844000,0.38625105412126315,30,58041223,Arkham
1690243200000,29184.901913057693,1,568026475556,Bitcoin
1690329600000,29222.974630383527,2,568767485805,Bitcoin
1690416000000,29363.672907978616,3,571505899899,Bitcoin
1690502400000,29200.244001291314,4,568325079003,Bitcoin
1690588800000,29314.09738709836,5,570541010297,Bitcoin
1690675200000,29356.74774591667,6,571371115297,Bitcoin
1690761600000,29277.755810272716,7,569833693279,Bitcoin
1690848000000,29233.136365580438,8,568965263911,Bitcoin
1690934400000,29537.109746927432,9,574881505432,Bitcoin
1691020800000,29146.63627084363,10,567281710405,Bitcoin
1691107200000,29176.15059658541,11,567856148465,Bitcoin
1691193600000,29087.938086007627,12,566139266166,Bitcoin
1691280000000,29046.800457023197,13,565338603465,Bitcoin
1691366400000,29044.204375577556,14,565288075866,Bitcoin
1691452800000,29178.147751873083,15,567895019148,Bitcoin
1691539200000,29779.56167125089,16,579600353296,Bitcoin
1691625600000,29585.48807737921,17,575823094087,Bitcoin
1691712000000,29423.81891597763,18,572676523157,Bitcoin
1691798400000,29396.8479714205,19,572151586988,Bitcoin
1691884800000,29412.142274584105,20,572449260393,Bitcoin
1691971200000,29284.96971374381,21,569974097662,Bitcoin
1692057600000,29400.58680419105,22,572224355984,Bitcoin
1692144000000,29170.490397060614,23,567745983860,Bitcoin
1692230400000,28754.197021112574,24,559643655476,Bitcoin
1692316800000,26501.58726991974,25,515801055574,Bitcoin
1692403200000,26042.838256848998,26,506872412064,Bitcoin
1692489600000,26104.778630797897,27,508077959110,Bitcoin
1692576000000,26160.700419818215,28,509166366288,Bitcoin
1692662400000,26119.005958595222,29,508354865947,Bitcoin
1692715955000,25997.432174609723,30,505988672350,Bitcoin
1690243200000,238.96549444977495,1,36765199291,BNB
1690329600000,237.73034722946028,2,36575170041,BNB
1690416000000,239.02009171510338,3,36773599162,BNB
1690502400000,240.41736659584296,4,36988571995,BNB
1690588800000,241.85782548004366,5,37210188753,BNB
1690675200000,242.5563254026864,6,37317654012,BNB
1690761600000,242.5403316925359,7,37315193356,BNB
1690848000000,241.19355696466522,8,37107990046,BNB
1690934400000,247.42873652130356,9,38067281762,BNB
1691020800000,240.3790076127766,10,36982670408,BNB
1691107200000,241.14378745446638,11,37100332933,BNB
1691193600000,241.49220755981716,12,37153937888,BNB
1691280000000,242.88197000996811,13,37367754923,BNB
1691366400000,242.57499805629092,14,37320526828,BNB
1691452800000,241.73842465058874,15,37191818756,BNB
1691539200000,245.17942748941834,16,37721222198,BNB
1691625600000,244.01031482836078,17,37541352463,BNB
1691712000000,241.2319119151888,18,37113891013,BNB
1691798400000,239.59582183259565,19,36862176103,BNB
1691884800000,240.0884451308951,20,36937966935,BNB
1691971200000,240.03079245155018,21,36929096984,BNB
1692057600000,240.35805612254566,22,36979446990,BNB
1692144000000,236.60728496761962,23,36402385229,BNB
1692230400000,232.0954857295837,24,35708238158,BNB
1692316800000,217.79553784100364,25,33508169754,BNB
1692403200000,215.97291578847336,26,33227756621,BNB
1692489600000,217.0755217507986,27,33397394200,BNB
1692576000000,216.24044795479304,28,33268916846,BNB
1692662400000,210.58828468143162,29,32399323059,BNB
1692696043000,210.00210472336857,30,32309138394,BNB
1690243200000,1850.431150587501,1,222442304872,Ethereum
1690329600000,1857.5965927470297,2,223303670327,Ethereum
1690416000000,1871.5331057115002,3,224978993434,Ethereum
1690502400000,1858.77702138144,4,223445570914,Ethereum
1690588800000,1874.6939950760675,5,225358967321,Ethereum
1690675200000,1880.9180765299413,6,226107170800,Ethereum
1690761600000,1861.8699097932104,7,223817370333,Ethereum
1690848000000,1857.2761957628516,8,223265155063,Ethereum
1690934400000,1869.7451086679923,9,224764056400,Ethereum
1691020800000,1838.0119518760303,10,220949379731,Ethereum
