market_cap,price,dia,capitalizacion propia
1367107200000,135.3,0,2633347282
1367193600000,141.96,1,2762971029
1367280000000,135.3,2,2633347282
1367366400000,117.0,3,2277173925
1367452800000,103.43,4,2013060675
1367539200000,91.01,5,1771329905
1367625600000,111.25,6,2165261531
1367712000000,116.79,7,2273086689
1367798400000,118.33,8,2303059748
1367884800000,106.4,9,2070865860
1367971200000,112.64,10,2192315136
1368057600000,113.0,11,2199321825
1368144000000,118.78,12,2311818109
1368230400000,113.01,13,2199516455
1368316800000,114.713,14,2232661986
1368403200000,117.18,15,2280677269
1368489600000,114.5,16,2228516362
1368576000000,114.156,17,2221821081
1368662400000,115.5,18,2247979387
1368748800000,123.1,19,2395898377
1368835200000,123.88,20,2411079537
1368921600000,120.501,21,2345313975
1369008000000,122.58,22,2385777604
1369094400000,122.9,23,2392005772
1369180800000,123.0,24,2393952075
1369267200000,125.748,25,2447436467
1369353600000,131.7,26,2563280392
1369440000000,130.77,27,2545179779
1369526400000,134.6,28,2619723165
1369612800000,128.985,29,2510438279
1369699200000,129.179,30,2514214106
1369785600000,132.13,31,2571649493
1369872000000,127.401,32,2479608848
1369958400000,127.98,33,2490877939
1370044800000,129.09,34,2512481897
1370131200000,121.3,35,2360864932
1370217600000,121.16,36,2358140109
1370390400000,121.309,37,2361040099
1370476800000,121.714,38,2368922624
1370563200000,119.0,39,2316099975
1370649600000,110.09,40,2142684422
1370736000000,108.401,41,2109811373
1370822400000,99.7497,42,1941430904
1370908800000,105.99,43,2062886019
1370995200000,108.9,44,2119523422
1371081600000,108.4,45,2109791910
1371168000000,102.769,46,2000195616
1371254400000,98.399,47,1915142196
1371340800000,99.99,48,1946107869
1371427200000,100.42,49,1954476970
1371513600000,102.0,50,1985228550
1371600000000,106.55,51,2073785313
1371686400000,107.9,52,2100060397
1371772800000,110.91,53,2158644102
1371859200000,109.015,54,2121761670
1371945600000,107.25,55,2087409431
1372032000000,108.0,56,2102006700
1372118400000,102.443,57,1993850670
1372204800000,103.691,58,2018140525
1372291200000,103.39,59,2012282154
1372377600000,99.66,60,1939685071
1372464000000,93.3311,61,1816505532
1372550400000,95.3886,62,1856550706
1372636800000,97.504,63,1897722789
1372723200000,89.489,64,1741726644
1372809600000,90.797,65,1767184280
1372896000000,78.8,66,1533686370
1372982400000,78.48,67,1527458202
1373068800000,67.809,68,1319768262
1373155200000,68.0831,69,1325103077
1373241600000,77.502,70,1508423363
1373328000000,76.3915,71,1486809674
