market_cap,price,dia,capitalizacion propia,cripto
1690243200000,1850.431150587501,1,222442304872,Ethereum
1690329600000,1857.5965927470297,2,223303670327,Ethereum
1690416000000,1871.5331057115002,3,224978993434,Ethereum
1690502400000,1858.77702138144,4,223445570914,Ethereum
1690588800000,1874.6939950760675,5,225358967321,Ethereum
1690675200000,1880.9180765299413,6,226107170800,Ethereum
1690761600000,1861.8699097932104,7,223817370333,Ethereum
1690848000000,1857.2761957628516,8,223265155063,Ethereum
1690934400000,1869.7451086679923,9,224764056400,Ethereum
1691020800000,1838.0119518760303,10,220949379731,Ethereum
1691107200000,1835.7013026752861,11,220671614123,Ethereum
1691193600000,1828.4611937761101,12,219801272900,Ethereum
1691280000000,1835.0705778421902,13,220595794017,Ethereum
1691366400000,1826.7067792702178,14,219590372858,Ethereum
1691452800000,1826.9334855730522,15,219617625465,Ethereum
1691539200000,1856.8441445120409,16,223213217721,Ethereum
1691625600000,1855.8907273266504,17,223098606423,Ethereum
1691712000000,1850.8769886993493,18,222495899548,Ethereum
1691798400000,1847.5418351143242,19,222094977173,Ethereum
1691884800000,1848.505238656101,20,222210788942,Ethereum
1691971200000,1839.5128095422053,21,221129799434,Ethereum
1692057600000,1843.5133910053466,22,221610713605,Ethereum
1692144000000,1826.9131281594616,23,219615178279,Ethereum
1692230400000,1809.4604742643007,24,217517176115,Ethereum
1692316800000,1675.8621709457839,25,201457181390,Ethereum
1692403200000,1660.6791095302815,26,199632009361,Ethereum
1692489600000,1669.233454808334,27,200660336343,Ethereum
1692576000000,1682.461825140931,28,202250532869,Ethereum
1692662400000,1666.8404654985097,29,200372672543,Ethereum
1692715670000,1656.4084551471346,30,199118629437,Ethereum
