market_cap,price,dia,capitalizacion propia
1690243200000,2.1862579248328444,1,277012624
1690329600000,2.2800309808203476,2,288894259
1690416000000,2.2405887084201876,3,283896675
1690502400000,2.1019364840263055,4,266328567
1690588800000,2.2218486216605777,5,281522189
1690675200000,2.3490790184737262,6,297643080
1690761600000,2.285819272127601,7,289627672
1690848000000,2.3193047097949417,8,293870488
1690934400000,2.429513429882892,9,307834625
1691020800000,2.358061208163573,10,298781180
1691107200000,2.3309257371643834,11,295342945
1691193600000,2.1693520155409804,12,274870539
1691280000000,2.120689495306523,13,268704691
1691366400000,2.04137973216826,14,258655646
1691452800000,2.0380286033097588,15,258231037
1691539200000,1.9353354358519295,16,245219167
1691625600000,1.8315766950048937,17,232072282
1691712000000,1.6780980938482408,18,212625578
1691798400000,1.7432575539811066,19,220881691
1691884800000,1.7564518941362126,20,222553497
1691971200000,1.7717940642196752,21,224497447
1692057600000,1.7722050780428824,22,224549525
1692144000000,1.6169073587385225,23,204872327
1692230400000,1.5245429863574387,24,193169181
1692316800000,1.359168188435916,25,172215154
1692403200000,1.5461274044129554,26,195904062
1692489600000,1.4788520118030584,27,187379847
1692576000000,1.4670042571101007,28,185878662
1692662400000,1.4728411120404146,29,186618228
1692739307000,1.4163328520111365,30,179458276
